groups;old_code
Math Content;1
Околошкольная математика | Борис Трушин;1
Математик МГУ;1
Ежик в матане;1
Physics.Math.Code;1
CODE BLOG;1
Типичный математик;1
Математики шутят;1
СПРАВЕДЛИВЫЕ МЕМЫ ПРО МАТЕШУ;1
Школа Пифагора ЕГЭ и ОГЭ по математике;1
Physics.Math.Code Высшая математика – просто и доступно!;1
Исповедь физмата ИФ;3
физика твёрдого тела;3
Инжиниринг и инновации в России;3
Такая себе физика| Помощь в решении задач онлайн;3
GetAClass. Физика и математика;3
Увлекательная физика;3
Химия – Просто;4
Химия;4
Химия для будущих медиков;4
ХИМИЯ ДЛЯ ВСЕХ;4
Химик-Психопат;4
Химики шутят;4
Thoisoi - группа для химиков.;4
Бородатый Химик;4
Картография с географией. Собрание карт;5
Картография;5
География в опросах;5
География которую мы заслужили;5
Мир Географии | World of Geography;5
Адекватный ГеоГраф;5
Геофизика / Сейсморазведка / Геология;5
Минералогия | Палеонтология | Геология |;5
Журнал Глобус: геология и бизнес;5
Экология России;5
Движение Первых. Экология;5
Recycle - журнал об экологичном стиле жизни;5
ЭкоСфера: экология + технология = жизнь;5
Экология России;5
Справочник эколога ? ЭкоСпоры;5
Природа мира;5
Такая себе биология;6
Биология от Бога;6
Биология;6
Клуб Гениальных Биологов (КГБ);6
Генетика молекулярная биология биотехнология;6
Биология которую мы заслужили;6
Углубленный Биолог;6
Биология книги;6
Почвомемы;6
Весёлый почвовед;6
Сама себе архитектор;7
Архитектор;7
Архитекторы и Архитектура;7
Архитектура для архитектора;7
Типичный архитектор;7
Я - Архитектор будущего!;7
Archi.ru - Архитектура России и мира;7
ArchBlog | Архитектура;7
Another Architecture;7
Библиотека программиста;9
Типичный программист;9
Magisters.org | Обучение современным профессиям;9
Лучшие видеолекции;9
AngularJS - HTML enhanced for web apps!;9
Программирование;9
Программирование ITmozg;9
Найти IT;9
KL10CH (КЛЮЧ);9
Уютное сообщество программистов;9
Ресурс Loftblog;9
Хакер / xakep.ru — взлом безопасность и защита;10
GreyTeam | Хакеры;10
Защита информации и криптография;10
UCypher | Хакеры программисты шифропанки;10
КриптографияКомбинаторикаТФКПГрафы;10
Хакеры;10
Радиолюбители электроника – ПАЯЛЬНИК;11
Квантовая наноэлектроника;11
Практическая электроника;11
PULT.RU: ваш личный эксперт в электронике;11
EasyElectronics - электроника для всех;11
Схемотехника электроника;11
Агрофирма Биотехника;12
Технологии будущего;12
Наука и техника;12
Приборостроение;12
Электроэнергетика ТВ;13
ТОЭ Электротехника;13
Электротехника электрооборудование энергетика;13
Машиностроение и металлургия;15
Машиностроение;15
Kulibin.club| Робототехника-Программирование-3D;15
Занимательная робототехника;15
Робототехника микроконтроллеры AVR arduino;15
Роботы и робототехника;15
Высшая школа Техносферной безопасности | СПбПУ;20
Приемная комиссия СПбГЛТУ | Абитуриенту;20
GreenTech | Факультет экотехнологий | ИТМО;20
Все о кадастровом учете: технологии и решения;21
Новости кадастра;21
Сообщество кадастровых инженеров форум;21
Типичный Геодезист;21
Библиотека геодезиста;21
Градостроительные хроники;21
___ГРАДОСТРОИТЕЛЬНОЕ ПРОЕКТИРОВАНИЕ___;21
Агрономы | Сельское хозяйство;35
Агроном [АгроСайт];35
Direct.Farm | Лаборатория агрономии;35
Типичный Агроном;35
МЫ ОГОРОДНИКИ | Дача | Огород | Сад;35
Сельское Хозяйство;35
АГРОНОМЫ САМЫЕ АГРОНОМНЫЕ))))));35
Агропромкомплектация;35
Будни ветеринара;36
Блог ветврача;36
Ветмедикал;36
Ветеринарная Wikipedia;36
Ветеринарная энциклопедия;36
Обучение ветеринарных врачей. ОЦ КВС;36
Veterinary Digest;36
vet_workshop | будущее ветеринарного образования;36
Veterinary books for professionals;36
Всё о ветеринарии собак и кошек: ЗООИНФОРМ;36
Ветеринарные курсы доктора Сотникова;36
Ветеринарное видео;36
Vet Union - ветеринарная лаборатория;36
МЕЖДУНАРОДНАЯ ВЕТЕРИНАРНАЯ АКАДЕМИЯ;36
Зоотехник;36
Ветеринария/Зоотехния сельхозживотных;36
ЗОВ - Зоотехния и Ветеринария;36
Литература для психологов;37
Психологос;37
Психология+ Цитаты психологов;37
Психологоческий форум | PSYWAY;37
Психология человека;37
Психология Души;37
Практическая психология;37
Философия | Психология | Саморазвитие;37
Psychology|Психология;37
Психология о жизни;37
Аналитика конфликта;37
LIVE LIFE | конфликтологи | психологи | коучи;37
